Column1;year;category;prize;prize_share;laureate_id;laureate_type;full_name;birth_date;birth_city;birth_country;sex;organization_name;organization_city;organization_country;death_date;death_city;death_country;usa_born_winner;decade;female;age;age_group
0;1901;Chemistry;The Nobel Prize in Chemistry 1901;01.01.2026;160;Individual;Jacobus Henricus van 't Hoff;1852-08-30;Rotterdam;Netherlands;Male;Berlin University;Berlin;Germany;01.03.1911;Berlin;Germany;ÀŒ∆‹;1900;ÀŒ∆‹;49.0;Adult
1;1901;Literature;The Nobel Prize in Literature 1901;01.01.2026;569;Individual;Sully Prudhomme;1839-03-16;Paris;France;Male;;;;07.09.1907;Ch?tenay;France;ÀŒ∆‹;1900;ÀŒ∆‹;62.0;Adult
2;1901;Medicine;The Nobel Prize in Physiology or Medicine 1901;01.01.2026;293;Individual;Emil Adolf von Behring;1854-03-15;Hansdorf (Lawice);Prussia (Poland);Male;Marburg University;Marburg;Germany;31.03.1917;Marburg;Germany;ÀŒ∆‹;1900;ÀŒ∆‹;47.0;Adult
3;1901;Peace;The Nobel Peace Prize 1901;01.02.2026;462;Individual;Jean Henry Dunant;1828-05-08;Geneva;Switzerland;Male;;;;30.10.1910;Heiden;Switzerland;ÀŒ∆‹;1900;ÀŒ∆‹;73.0;Senior
4;1901;Peace;The Nobel Peace Prize 1901;01.02.2026;463;Individual;Fr?d?ric Passy;1822-05-20;Paris;France;Male;;;;12.06.1912;Paris;France;ÀŒ∆‹;1900;ÀŒ∆‹;79.0;Senior
5;1901;Physics;The Nobel Prize in Physics 1901;01.01.2026;1;Individual;Wilhelm Conrad R?ntgen;1845-03-27;Lennep (Remscheid);Prussia (Germany);Male;Munich University;Munich;Germany;10.02.1923;Munich;Germany;ÀŒ∆‹;1900;ÀŒ∆‹;56.0;Adult
6;1902;Chemistry;The Nobel Prize in Chemistry 1902;01.01.2026;161;Individual;Hermann Emil Fischer;1852-10-09;Euskirchen;Prussia (Germany);Male;Berlin University;Berlin;Germany;15.07.1919;Berlin;Germany;ÀŒ∆‹;1900;ÀŒ∆‹;50.0;Adult
7;1902;Literature;The Nobel Prize in Literature 1902;01.01.2026;571;Individual;Christian Matthias Theodor Mommsen;1817-11-30;Garding;Schleswig (Germany);Male;;;;01.11.1903;Charlottenburg;Germany;ÀŒ∆‹;1900;ÀŒ∆‹;85.0;Senior
8;1902;Medicine;The Nobel Prize in Physiology or Medicine 1902;01.01.2026;294;Individual;Ronald Ross;1857-05-13;Almora;India;Male;University College;Liverpool;United Kingdom;16.09.1932;Putney Heath;United Kingdom;ÀŒ∆‹;1900;ÀŒ∆‹;45.0;Adult
9;1902;Peace;The Nobel Peace Prize 1902;01.02.2026;464;Individual;?lie Ducommun;1833-02-19;Geneva;Switzerland;Male;;;;07.12.1906;Bern;Switzerland;ÀŒ∆‹;1900;ÀŒ∆‹;69.0;Senior
10;1902;Peace;The Nobel Peace Prize 1902;01.02.2026;465;Individual;Charles Albert Gobat;1843-05-21;Tramelan;Switzerland;Male;;;;16.03.1914;Bern;Switzerland;ÀŒ∆‹;1900;ÀŒ∆‹;59.0;Adult
11;1902;Physics;The Nobel Prize in Physics 1902;01.02.2026;2;Individual;Hendrik Antoon Lorentz;1853-07-18;Arnhem;Netherlands;Male;Leiden University;Leiden;Netherlands;04.02.1928;;Netherlands;ÀŒ∆‹;1900;ÀŒ∆‹;49.0;Adult
12;1902;Physics;The Nobel Prize in Physics 1902;01.02.2026;3;Individual;Pieter Zeeman;1865-05-25;Zonnemaire;Netherlands;Male;Amsterdam University;Amsterdam;Netherlands;09.10.1943;Amsterdam;Netherlands;ÀŒ∆‹;1900;ÀŒ∆‹;37.0;Adult
13;1903;Chemistry;The Nobel Prize in Chemistry 1903;01.01.2026;162;Individual;Svante August Arrhenius;1859-02-19;Vik;Sweden;Male;Stockholm University;Stockholm;Sweden;02.10.1927;Stockholm;Sweden;ÀŒ∆‹;1900;ÀŒ∆‹;44.0;Adult
14;1903;Literature;The Nobel Prize in Literature 1903;01.01.2026;572;Individual;Bj?rnstjerne Martinus Bj?rnson;1832-12-08;Kvikne;Norway;Male;;;;26.04.1910;Paris;France;ÀŒ∆‹;1900;ÀŒ∆‹;71.0;Senior
15;1903;Medicine;The Nobel Prize in Physiology or Medicine 1903;01.01.2026;295;Individual;Niels Ryberg Finsen;1860-12-15;Thorshavn;Faroe Islands (Denmark);Male;Finsen Medical Light Institute;Copenhagen;Denmark;24.09.1904;Copenhagen;Denmark;ÀŒ∆‹;1900;ÀŒ∆‹;43.0;Adult
16;1903;Peace;The Nobel Peace Prize 1903;01.01.2026;466;Individual;William Randal Cremer;1828-03-18;Fareham;United Kingdom;Male;;;;22.07.1908;London;United Kingdom;ÀŒ∆‹;1900;ÀŒ∆‹;75.0;Senior
17;1903;Physics;The Nobel Prize in Physics 1903;01.02.2026;4;Individual;Antoine Henri Becquerel;1852-12-15;Paris;France;Male;?cole Polytechnique;Paris;France;25.08.1908;;France;ÀŒ∆‹;1900;ÀŒ∆‹;51.0;Adult
